Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Json Placeholder,497346,5,2,423,10.48,0.000%,1658.18480,2458.82,189.46,1518.4
TOTAL,497346,5,2,423,10.48,0.000%,1658.18480,2458.82,189.46,1518.4
