Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Json Placeholder,1528559,7,2,3035,12.89,0.000%,2417.50054,3584.09,276.22,1518.1
TOTAL,1528559,7,2,3035,12.89,0.000%,2417.50054,3584.09,276.22,1518.1
